,StateWellNumber,County,LongitudeDD,LatitudeDD,LandSurfaceElevation,WellDepth,WaterElevation,DepthFromLSD
0,6154901,Jefferson,-94.266112,30.134722,30.0,21.0,23.1,6.9
1,6154902,Jefferson,-94.2711111,30.1591667,28.0,450.0,-17.17888888888889,45.17888888888889
2,6154904,Jefferson,-94.2702778,30.1616667,27.0,530.0,-17.287142857142857,44.287142857142854
3,6154905,Jefferson,-94.271389,30.159167,26.0,572.0,-25.33857142857143,51.33857142857143
7,6155701,Jefferson,-94.213889,30.130555,36.0,68.0,27.0,9.0
8,6155703,Jefferson,-94.228055,30.161389,26.0,190.0,21.0,5.0
9,6155707,Jefferson,-94.2324917,30.1532694,23.0,500.0,-27.187419354838706,50.18741935483871
10,6155708,Jefferson,-94.2325,30.156945,26.0,500.0,-12.524444444444445,38.52444444444444
11,6155803,Jefferson,-94.194445,30.143889,32.0,63.0,24.0,8.0
12,6155805,Jefferson,-94.185278,30.156389,34.0,187.0,22.5,11.5
14,6156702,Jefferson,-94.098889,30.131111,17.0,534.0,9.592,7.4079999999999995
15,6161308,Jefferson,-94.404723,30.095278,35.0,96.0,30.6,4.4
16,6161602,Jefferson,-94.407223,30.073611,36.0,300.0,29.3,6.7
17,6161801,Jefferson,-94.436667,30.015834,45.0,30.0,41.0,4.0
18,6161803,Jefferson,-94.425278,30.036111,41.0,98.0,33.6,7.4
19,6161804,Jefferson,-94.417778,30.035556,42.0,118.0,31.0,11.0
21,6161904,Jefferson,-94.384722,30.037778,42.0,176.0,30.9,11.1
22,6161905,Jefferson,-94.385,30.04,42.0,441.0,29.0,13.0
23,6161907,Jefferson,-94.4086111,30.0305556,44.0,145.0,30.54236842105263,13.457631578947368
24,6162203,Jefferson,-94.304445,30.085,43.0,26.0,34.0,9.0
25,6162303,Jefferson,-94.275555,30.089167,38.0,102.0,30.0,8.0
26,6162305,Jefferson,-94.291667,30.096389,39.0,208.0,31.0,8.0
27,6162306,Jefferson,-94.256389,30.107778,39.0,226.0,12.0,27.0
28,6162308,Jefferson,-94.266389,30.09,35.0,150.0,23.0,12.0
29,6162403,Jefferson,-94.345834,30.063334,45.0,204.0,15.8,29.2
30,6162404,Jefferson,-94.338334,30.065834,40.0,11.0,36.2,3.8
31,6162406,Jefferson,-94.3375,30.048611,41.0,142.0,31.0,10.0
32,6162407,Jefferson,-94.336945,30.048889,41.0,246.0,31.0,10.0
33,6162408,Jefferson,-94.335,30.044167,36.0,250.0,19.0,17.0
34,6162409,Jefferson,-94.360278,30.045834,43.0,206.0,31.0,12.0
35,6162411,Jefferson,-94.345834,30.063334,45.0,208.0,15.0,30.0
36,6162414,Jefferson,-94.337222,30.050834,40.0,232.0,20.0,20.0
37,6162415,Jefferson,-94.336667,30.051112,41.0,241.0,5.9276470588235295,35.07235294117647
38,6162416,Jefferson,-94.3391667,30.0530556,42.0,230.0,6.9,35.1
39,6162418,Jefferson,-94.336667,30.051389,41.0,254.0,3.0,38.0
40,6162501,Jefferson,-94.321667,30.080278,41.0,208.0,24.525,16.475
41,6162502,Jefferson,-94.3175,30.060001,36.0,14.0,33.3,2.7
42,6162503,Jefferson,-94.294445,30.049445,28.0,16.0,26.5,1.5
43,6162504,Jefferson,-94.293889,30.065001,31.0,19.0,23.9,7.1
44,6162508,Jefferson,-94.293056,30.051667,31.0,100.0,21.675,9.325000000000001
45,6162604,Jefferson,-94.264723,30.071944,37.0,164.0,20.0,17.0
46,6162705,Jefferson,-94.365834,30.030833,34.0,15.0,26.0,8.0
47,6162901,Jefferson,-94.270833,30.001389,25.0,7.0,20.2,4.8
48,6163202,Jefferson,-94.189445,30.098889,32.0,24.0,29.5,2.5
49,6163204,Jefferson,-94.189722,30.089167,27.0,265.0,18.8,8.2
50,6163303,Jefferson,-94.162501,30.113889,29.0,33.0,8.0,21.0
51,6163305,Jefferson,-94.154723,30.084167,20.0,340.0,14.5,5.5
52,6163401,Jefferson,-94.22,30.060556,29.0,17.0,27.8,1.2
53,6163502,Jefferson,-94.187778,30.069444,29.0,130.0,17.0,12.0
54,6163504,Jefferson,-94.174444,30.073889,24.0,80.0,14.0,10.0
55,6163701,Jefferson,-94.216944,30.025,24.0,21.0,14.0,10.0
56,6163705,Jefferson,-94.210001,30.021389,24.0,169.0,9.3,14.7
57,6163904,Jefferson,-94.1475,30.0172222,15.0,220.0,3.5408333333333335,11.459166666666667
58,6164104,Jefferson,-94.103056,30.113612,14.0,9.0,11.3,2.7
59,6164106,Jefferson,-94.095,30.088611,15.0,520.0,-26.150000000000002,41.15
60,6164404,Jefferson,-94.098056,30.082222,23.0,540.0,-17.183333333333334,40.18333333333333
61,6164405,Jefferson,-94.0983333,30.0819444,20.0,532.0,-20.427931034482757,40.42793103448276
62,6164501,Jefferson,-94.072222,30.065278,26.0,620.0,6.2,19.8
63,6164502,Jefferson,-94.049722,30.066944,10.0,435.0,-25.82375,35.82375
64,6164503,Jefferson,-94.047222,30.064445,15.0,450.0,-21.7,36.699999999999996
65,6164504,Jefferson,-94.068055,30.044722,21.0,641.0,12.4,8.6
66,6164505,Jefferson,-94.073889,30.053056,26.0,775.0,-21.19333333333333,47.193333333333335
67,6164506,Jefferson,-94.073889,30.066944,25.0,765.0,-14.666666666666666,39.666666666666664
68,6164509,Jefferson,-94.044722,30.062778,8.0,542.0,-24.574827586206894,32.574827586206894
69,6164510,Jefferson,-94.063889,30.064445,13.0,248.0,2.25,10.75
70,6164512,Jefferson,-94.068333,30.044722,20.0,145.0,4.3,15.7
71,6164513,Jefferson,-94.078333,30.055834,25.0,271.0,-15.0,40.0
72,6164701,Jefferson,-94.111667,30.02,12.0,45.0,6.0,6.0
73,6164702,Jefferson,-94.096945,30.015001,10.0,77.0,4.0,6.0
74,6164801,Jefferson,-94.0475,30.021111,22.0,27.0,11.1,10.9
75,6164802,Jefferson,-94.080555,30.037778,19.0,22.0,16.9,2.1
76,6164805,Jefferson,-94.046389,30.021111,20.0,115.0,1.4,18.6
77,6164806,Jefferson,-94.049167,30.0375,5.0,600.0,-29.596666666666664,34.59666666666667
78,6164901,Jefferson,-94.03,30.010001,21.0,540.0,-15.1,36.1
79,6164902,Jefferson,-94.028889,30.006945,20.0,550.0,-22.071538461538463,42.07153846153846
80,6164903,Jefferson,-94.026667,30.003889,16.0,590.0,-18.0,34.0
81,6164904,Jefferson,-94.024167,30.004167,17.0,590.0,-22.465,39.465
82,6257704,Jefferson,-93.978055,30.001389,19.0,602.0,-6.050000000000001,25.05
83,6257706,Jefferson,-93.975833,30.002778,18.0,518.0,10.1,7.9
84,6257707,Jefferson,-93.975833,30.002501,18.0,606.0,10.9,7.1
85,6257708,Jefferson,-93.966112,30.004445,15.0,774.0,11.3,3.7
87,6257711,Jefferson,-93.988334,30.001112,17.0,34.0,14.8,2.2
88,6257712,Jefferson,-93.980833,30.006667,14.0,600.0,11.6,2.4
89,6301101,Jefferson,-93.986945,29.964723,12.0,30.0,6.0,6.0
90,6301104,Jefferson,-93.993056,29.973333,21.0,510.0,1.374,19.625999999999998
91,6301105,Jefferson,-93.985834,29.9675,21.0,510.0,4.7525,16.2475
92,6301106,Jefferson,-93.993889,29.975,21.0,140.0,4.9,16.1
93,6301108,Jefferson,-93.993334,29.996945,17.0,511.0,-7.0,24.0
94,6301201,Jefferson,-93.919722,29.961389,9.0,546.0,-27.883684210526315,36.88368421052631
95,6301202,Jefferson,-93.954445,29.995278,19.0,629.0,8.6225,10.3775
96,6301203,Jefferson,-93.94,29.99,16.0,656.0,13.0,3.0
97,6301204,Jefferson,-93.952223,29.994167,20.0,657.0,11.7,8.3
98,6301205,Jefferson,-93.949167,29.993611,17.0,682.0,14.4,2.6
